Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SXC,Scrypt,PoW,128940951.2,250000000.0,-0.16144061392854972,-1.1021361236856226,-0.011064942867580562,1,
QTL,Scrypt,PoW,7357794.793,100000000.0,-0.1639923091688739,-1.102112134914446,-0.010997648612564226,1,
ENRG,Scrypt,PoW/PoS,123062801.1,0.0,-0.3208106058443193,1.0598203316563044,-0.4805741789175453,0,
QRK,Quark,PoW,259557164.9,247000000.0,-0.22592332262570408,-0.4783297166209085,0.03706278197366019,1,
RIC,Groestl,PoW,49548585.14,84000000.0,-0.18665675362273193,-1.1839340372861233,0.11932430003658177,1,
DGC,Scrypt,PoW,33442988.34,48166000.0,-0.16404128628570577,-1.1020782029646359,-0.01100523581690607,1,
BTB,Scrypt,PoW/PoS,42579.4769,500000.0,-0.3223114675067124,1.059773776665005,-0.48051850535017787,0,
CAT,Scrypt,PoW,7219956.646,21000000.0,-0.164554819941361,-1.1020754412418066,-0.010991144660329959,1,
CBX,Scrypt,PoW/PoS,1039116.651,1000000.0,-0.32229573135244816,1.059773919337344,-0.4805189974386943,0,
CCN,Scrypt,PoW,4703879.518,13140000.0,-0.16464138753834795,-1.1020727327013562,-0.010989364268952433,1,
CRYPT,X11,PoW,4996986.206,18000000.0,-0.22787733160171592,-0.892458039059276,0.07674771761786177,1,
CSC,Scrypt,PoC,39999997300.0,40000000000.0,0.4458412872432149,0.2768000511532265,-0.5140731930717648,0,
DMD,Groestl,PoW/PoS,3304487.747,4380000.0,-0.3453108431128754,0.9779279690275547,-0.35018054727365927,0,
XVG,Multiple,PoW,15929530669.0,16555000000.0,0.18435147335293126,-1.849679087036693,0.2759487485014189,1,
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23651540643530725,-1.3729724433158732,0.1503250153722146,1,
EAC,Scrypt,PoW,12539015187.0,13500000000.0,0.08438431761343573,-1.1036262185748538,-0.017765694667778338,1,
EFL,Scrypt,PoW,20910478.81,21000000.0,-0.16438739889097875,-1.1020702861691754,-0.01099734492845644,1,
EMC2,Scrypt,PoW,218871896.5,299792458.0,-0.15998737138871033,-1.1021254209602973,-0.01110973147342225,1,
EMD,Scrypt,PoW,19496786.31,32000000.0,-0.1643265973226172,-1.1020759349578526,-0.010997601606098481,1,
EXCL,PoS,PoS,5679705.0,0.0,-0.3685781862827561,1.5402625187494816,-0.11888247921512132,0,
FLT,Scrypt,PoS/PoW/PoT,461829905.3,0.0,-0.26123937112164614,0.2925935134573239,-0.29683248710892746,0,
FRK,Scrypt,PoW,1142732.149,11235813.0,-0.16469845464336272,-1.102073187925237,-0.010987596205159756,1,
FTC,NeoScrypt,PoW,208669093.0,336000000.0,-0.17202513252340465,-1.5971831067095486,0.2292320621104615,1,
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14389525823543378,-1.1023962541511152,-0.011502406282123302,1,
GLC,Scrypt,PoW,65672720.47,70000000.0,-0.16349214899017672,-1.1020762228117125,-0.01102161257149621,1,
GLD,Scrypt,PoW,41658648.0,72245700.0,-0.16376987413461372,-1.1020863096978153,-0.011010920005744418,1,
HBN,Scrypt,PoW/PoS,89266933.68,120000000.0,-0.32037200834619395,1.0597517899904494,-0.4805686577853094,0,
HYP,X11,PoS,1678520091.0,0.0,-0.3378427391484649,1.0418789342598749,-0.16965911859723526,0,
IFC,Scrypt,PoW,90595753019.0,90600000000.0,1.5862751499915613,-1.1100963073036367,-0.05940322985523052,1,
IOC,X11,PoW/PoS,17650913.97,22000000.0,-0.38521753585098445,1.2693872504105024,-0.39279062211342936,0,
IXC,SHA-256,PoW,21089349.0,21000000.0,-0.1417427464218205,-1.3702756269315945,0.16052850443506203,1,
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.16105590700888547,-1.102134821678131,-0.011076393259031776,1,
LKY,Scrypt,PoW,19326319.14,20000000.0,-0.1644138705922168,-1.102070417539825,-0.010996545943821906,1,
LTB,Scrypt,PoW,1104344.229,1350000.0,-0.16476910399448186,-1.1020686041536223,-0.010986772747191658,1,
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.35534380213835093,2.116132797465948,-0.46829951314610146,0,
MEC,Scrypt,PoW,38151999.99,42000000.0,-0.1640274726591248,-1.1020735618030977,-0.011006865704765872,1,
